datetime,fromNode,pm10Standard,pm25Standard,pm100Standard,pm10Environmental,pm25Environmental,pm100Environmental,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2024-12-18 11:54:35.819889,0x336918e8,,,,,,,6.0,-16,,5,5
2024-12-18 11:54:39.704894,0x433aca0c,,,,,,,6.0,-34,,3,3
2024-12-18 11:55:36.082711,0x336918e8,,,,,,,7.0,-17,,5,5
2024-12-18 11:55:39.852847,0x433aca0c,,,,,,,6.75,-35,,3,3
2024-12-18 11:56:36.252553,0x336918e8,,,,,,,6.0,-16,,5,5
2024-12-18 11:56:40.065779,0x433aca0c,,,,,,,6.0,-35,,3,3
2024-12-18 11:57:36.282939,0x336918e8,,,,,,,6.25,-15,,5,5
2024-12-18 11:57:40.327957,0x433aca0c,,,,,,,6.0,-34,,3,3
2024-12-18 11:58:36.464152,0x336918e8,,,,,,,6.25,-15,,5,5
2024-12-18 11:58:40.395841,0x433aca0c,,,,,,,6.0,-35,,3,3
2024-12-18 11:59:36.835958,0x336918e8,,,,,,,6.25,-15,,5,5
2024-12-18 11:59:40.770162,0x433aca0c,,,,,,,6.25,-35,,3,3
2024-12-18 12:00:36.938527,0x336918e8,,,,,,,6.5,-16,,5,5
2024-12-18 12:00:40.865786,0x433aca0c,,,,,,,6.5,-35,,3,3
2024-12-18 12:01:37.034838,0x336918e8,,,,,,,6.5,-15,,5,5
2024-12-18 12:01:41.044183,0x433aca0c,,,,,,,6.0,-35,,3,3
2024-12-18 12:02:37.291475,0x336918e8,,,,,,,6.0,-15,,5,5
2024-12-18 12:02:41.418963,0x433aca0c,,,,,,,6.25,-34,,3,3
2024-12-18 12:03:37.368927,0x336918e8,,,,,,,6.0,-16,,5,5
2024-12-18 12:03:41.331747,0x433aca0c,,,,,,,6.25,-34,,3,3
2024-12-18 12:04:37.656514,0x336918e8,,,,,,,6.25,-16,,5,5
2024-12-18 12:04:41.786514,0x433aca0c,,,,,,,5.75,-35,,3,3
2024-12-18 12:05:37.844569,0x336918e8,,,,,,,6.0,-16,,5,5
2024-12-18 12:05:41.674667,0x433aca0c,,,,,,,6.0,-35,,3,3
2024-12-18 12:06:37.943537,0x336918e8,,,,,,,5.75,-16,,5,5
2024-12-18 12:06:41.850288,0x433aca0c,,,,,,,5.75,-35,,3,3
2024-12-18 12:07:38.300569,0x336918e8,,,,,,,6.25,-15,,5,5
2024-12-18 12:07:43.290659,0x433aca0c,,,,,,,6.0,-34,,3,3
2024-12-18 12:08:38.305289,0x336918e8,,,,,,,6.5,-15,,5,5
2024-12-18 12:08:42.421423,0x433aca0c,,,,,,,5.75,-35,,3,3
2024-12-18 12:09:38.485532,0x336918e8,,,,,,,6.0,-15,,5,5
2024-12-18 12:09:42.881009,0x433aca0c,,,,,,,6.25,-35,,3,3
2024-12-18 12:10:41.237860,0x336918e8,,,,,,,6.25,-15,,5,5
2024-12-18 12:10:43.712941,0x433aca0c,,,,,,,6.25,-35,,3,3
2024-12-18 12:11:39.050303,0x336918e8,,,,,,,5.75,-15,,5,5
2024-12-18 12:11:43.489394,0x433aca0c,,,,,,,6.75,-35,,3,3
2024-12-18 12:12:39.055479,0x336918e8,,,,,,,6.0,-16,,5,5
2024-12-18 12:12:43.099536,0x433aca0c,,,,,,,6.0,-35,,3,3
2024-12-18 12:13:39.336172,0x336918e8,,,,,,,6.5,-15,,5,5
2024-12-18 12:13:43.204173,0x433aca0c,,,,,,,6.0,-34,,3,3
2024-12-18 12:14:39.706209,0x336918e8,,,,,,,6.0,-16,,5,5
2024-12-18 12:14:43.465565,0x433aca0c,,,,,,,6.5,-35,,3,3
2024-12-18 12:15:39.600033,0x336918e8,,,,,,,6.0,-16,,5,5
2024-12-18 12:15:43.755037,0x433aca0c,,,,,,,5.5,-35,,3,3
2024-12-18 12:16:39.881071,0x336918e8,,,,,,,6.5,-15,,5,5
2024-12-18 12:16:43.741514,0x433aca0c,,,,,,,6.0,-35,,3,3
2024-12-18 12:17:40.082689,0x336918e8,,,,,,,6.0,-15,,5,5
2024-12-18 12:17:44.295931,0x433aca0c,,,,,,,6.25,-34,,3,3
2024-12-18 12:18:40.174556,0x336918e8,,,,,,,6.25,-16,,5,5
2024-12-18 12:18:44.287482,0x433aca0c,,,,,,,6.25,-35,,3,3
2024-12-18 12:19:40.358968,0x336918e8,,,,,,,6.25,-15,,5,5
2024-12-18 12:19:44.425357,0x433aca0c,,,,,,,6.0,-34,,3,3
2024-12-18 12:20:40.606381,0x336918e8,,,,,,,6.25,-15,,5,5
2024-12-18 12:20:44.504803,0x433aca0c,,,,,,,6.25,-35,,3,3
2024-12-18 12:21:40.708669,0x336918e8,,,,,,,6.0,-15,,5,5
2024-12-18 12:21:44.678413,0x433aca0c,,,,,,,6.25,-34,,3,3
2024-12-18 12:22:41.046301,0x336918e8,,,,,,,6.5,-16,,5,5
2024-12-18 12:22:45.010878,0x433aca0c,,,,,,,6.0,-35,,3,3
2024-12-18 12:23:41.046417,0x336918e8,,,,,,,6.25,-16,,5,5
2024-12-18 12:23:45.011241,0x433aca0c,,,,,,,6.0,-34,,3,3
2024-12-18 12:24:41.437566,0x336918e8,,,,,,,5.75,-15,,5,5
2024-12-18 12:24:45.374260,0x433aca0c,,,,,,,6.0,-35,,3,3
2024-12-18 12:25:41.598498,0x336918e8,,,,,,,6.25,-15,,5,5
2024-12-18 12:25:45.428896,0x433aca0c,,,,,,,6.25,-34,,3,3
2024-12-18 12:26:41.591392,0x336918e8,,,,,,,6.25,-15,,5,5
2024-12-18 12:26:45.590986,0x433aca0c,,,,,,,6.0,-35,,3,3
2024-12-18 12:27:41.878045,0x336918e8,,,,,,,6.25,-15,,5,5
2024-12-18 12:27:47.899555,0x433aca0c,,,,,,,5.75,-35,,3,3
2024-12-18 12:28:42.391358,0x336918e8,,,,,,,6.0,-16,,5,5
2024-12-18 12:28:45.974129,0x433aca0c,,,,,,,6.0,-34,,3,3
2024-12-18 12:29:42.204502,0x336918e8,,,,,,,6.0,-16,,5,5
2024-12-18 12:29:46.150186,0x433aca0c,,,,,,,6.25,-36,,3,3
