datetime,fromNode,batteryLevel,voltage,channelUtilization,airUtilTx,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2024-12-18 11:54:31.503008,0x433b0b38,97,4.155,15.296666,0.033999998,,,,5,5
2024-12-18 11:55:31.683148,0x433b0b38,99,4.183,4.096667,0.07783333,,,,,5
2024-12-18 11:56:31.562412,0x433b0b38,101,4.205,3.3700001,0.117805555,,,,,5
2024-12-18 11:57:31.614758,0x433b0b38,98,4.174,3.3700001,0.14566666,,,,,5
2024-12-18 11:58:31.830948,0x433b0b38,97,4.158,3.3700001,0.17352778,,,,,5
2024-12-18 11:59:31.828614,0x433b0b38,98,4.166,3.3966668,0.18927777,,,,,5
2024-12-18 12:00:31.847497,0x433b0b38,101,4.206,3.3700001,0.21713889,,,,5,5
2024-12-18 12:01:31.876256,0x433b0b38,99,4.187,3.3700001,0.26119444,,,,,5
2024-12-18 12:02:31.962154,0x433b0b38,101,4.221,3.3700001,0.27694443,,,,,5
2024-12-18 12:03:31.948222,0x433b0b38,101,4.21,3.3966668,0.29269445,,,,,5
2024-12-18 12:04:31.986826,0x433b0b38,99,4.18,2.6166666,0.32055554,,,,,5
2024-12-18 12:05:32.087603,0x433b0b38,101,4.213,4.8766665,0.34841666,,,,,5
2024-12-18 12:06:32.259372,0x433b0b38,100,4.193,4.8500004,0.37627777,,,,5,5
2024-12-18 12:06:56.030092,0x336918e8,101,4.297,6.7933335,2.2009165,6.0,-15,,5,5
2024-12-18 12:07:32.238495,0x433b0b38,101,4.204,7.8199997,0.42033336,,,,,5
2024-12-18 12:07:39.979588,0x43590ff4,101,4.212,3.8883333,1.8116944,5.75,-31,,5,5
2024-12-18 12:08:32.361288,0x433b0b38,100,4.191,6.85,0.43608332,,,,,5
2024-12-18 12:09:32.402504,0x433b0b38,101,4.208,4.8766665,0.46394444,,,,,5
2024-12-18 12:10:32.361772,0x433b0b38,101,4.221,4.8766665,0.47969446,,,,,5
2024-12-18 12:11:20.350701,0x433aca0c,41,3.64,9.911667,1.7696944,6.5,-34,,3,3
2024-12-18 12:11:32.476463,0x433b0b38,96,4.147,13.400001,0.5075556,,,,,5
2024-12-18 12:12:32.560661,0x433b0b38,97,4.155,4.8766665,0.52330554,,,,5,5
2024-12-18 12:13:32.689492,0x433b0b38,96,4.146,5.875,0.55525,,,,,5
2024-12-18 12:14:32.793005,0x433b0b38,98,4.173,4.8500004,0.5831111,,,,,5
2024-12-18 12:15:32.761852,0x433b0b38,98,4.166,4.8766665,0.6109722,,,,,5
2024-12-18 12:16:32.723519,0x433b0b38,97,4.156,4.8766665,0.6267222,,,,,5
2024-12-18 12:17:32.762481,0x433b0b38,100,4.192,4.8766665,0.65458333,,,,,5
2024-12-18 12:18:32.878191,0x433b0b38,98,4.162,5.795,0.68244445,,,,5,5
2024-12-18 12:19:33.091144,0x433b0b38,98,4.169,5.795,0.7143889,,,,,5
2024-12-18 12:20:33.108031,0x433b0b38,97,4.156,4.8766665,0.74224997,,,,,5
2024-12-18 12:21:32.987042,0x433b0b38,98,4.173,4.8500004,0.7701111,,,,,5
2024-12-18 12:22:33.021965,0x433b0b38,100,4.198,4.096667,0.7858611,,,,,5
2024-12-18 12:23:33.223301,0x433b0b38,99,4.178,4.1233335,0.8016111,,,,,5
2024-12-18 12:24:33.222062,0x433b0b38,98,4.168,4.096667,0.8415833,,,,5,5
2024-12-18 12:25:33.252978,0x433b0b38,101,4.203,4.096667,0.89774996,,,,,5
2024-12-18 12:26:33.460945,0x433b0b38,100,4.2,4.1233335,0.9135001,,,,,5
2024-12-18 12:27:33.425548,0x433b0b38,99,4.181,4.1233335,0.9413611,,,,,5
2024-12-18 12:28:33.402703,0x433b0b38,99,4.183,6.356667,0.9692222,,,,,5
2024-12-18 12:29:22.298981,0x433aca0c,41,3.644,5.958333,1.6739722,5.5,-35,,3,3
2024-12-18 12:29:33.615286,0x433b0b38,99,4.185,9.848333,0.98497224,,,,,5
2024-12-18 12:30:33.624581,0x433b0b38,99,4.183,4.8500004,1.0007222,,,,5,5
