datetime,fromNode,temperature,relativeHumidity,barometricPressure,gasResistance,iaq,windDirection,windSpeed,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2024-12-18 11:53:57.812841,0x433b0b38,22.98,43.0,1021.05,,,315,,,,,5,5
2024-12-18 11:54:58.279302,0x433b0b38,23.06,42.56,1021.03,,,315,,,,,5,5
2024-12-18 11:55:58.743609,0x433b0b38,23.08,42.3,1020.99,,,315,,,,,5,5
2024-12-18 11:56:59.208374,0x433b0b38,23.16,42.32,1020.95,,,315,,,,,5,5
2024-12-18 11:57:59.673400,0x433b0b38,23.12,42.35,1020.91,,,315,,,,,5,5
2024-12-18 11:59:00.138382,0x433b0b38,23.12,42.14,1020.86,,,315,,,,,5,5
2024-12-18 12:00:00.603823,0x433b0b38,23.15,42.02,1020.84,,,315,,,,,5,5
2024-12-18 12:01:01.069485,0x433b0b38,23.11,41.96,1020.78,,,315,,,,,5,5
2024-12-18 12:02:01.484526,0x433b0b38,23.07,41.98,1020.73,,,315,,,,,5,5
2024-12-18 12:03:01.949513,0x433b0b38,23.1,41.95,1020.66,,,315,,,,,5,5
2024-12-18 12:04:02.414132,0x433b0b38,23.08,41.92,1020.63,,,315,,,,,5,5
2024-12-18 12:05:02.879885,0x433b0b38,23.07,41.88,1020.65,,,315,,,,,5,5
2024-12-18 12:06:03.295560,0x433b0b38,23.05,41.84,1020.6,,,315,,,,,5,5
2024-12-18 12:07:03.759917,0x433b0b38,23.05,41.83,1020.59,,,315,,,,,5,5
2024-12-18 12:08:04.226414,0x433b0b38,23.02,41.85,1020.52,,,315,,,,,5,5
2024-12-18 12:09:04.690283,0x433b0b38,23.03,41.81,1020.51,,,315,,,,,5,5
2024-12-18 12:10:05.154980,0x433b0b38,23.03,41.81,1020.46,,,315,,,,,5,5
2024-12-18 12:10:37.608847,0x433aca0c,26.692757,30.709782,1021.40204,297.93475,58,,,6.25,-34,,3,3
2024-12-18 12:11:05.620994,0x433b0b38,23.01,41.82,1020.43,,,315,,,,,5,5
2024-12-18 12:12:06.086858,0x433b0b38,23.01,41.81,1020.38,,,315,,,,,5,5
2024-12-18 12:13:06.551544,0x433b0b38,22.99,41.82,1020.36,,,315,,,,,5,5
2024-12-18 12:14:06.915810,0x433b0b38,22.98,41.78,1020.31,,,315,,,,,5,5
2024-12-18 12:15:07.382140,0x433b0b38,23.01,41.79,1020.32,,,315,,,,,5,5
2024-12-18 12:16:07.846756,0x433b0b38,23.02,41.8,1020.29,,,315,,,,,5,5
2024-12-18 12:17:08.261707,0x433b0b38,23.04,41.76,1020.27,,,315,,,,,5,5
2024-12-18 12:18:08.728026,0x433b0b38,22.98,41.73,1020.24,,,315,,,,,5,5
2024-12-18 12:19:09.193172,0x433b0b38,23.0,41.75,1020.24,,,315,,,,,5,5
2024-12-18 12:20:09.907945,0x433b0b38,22.99,41.74,1020.22,,,315,,,,,5,5
2024-12-18 12:21:10.373696,0x433b0b38,23.02,41.73,1020.19,,,315,,,,,5,5
2024-12-18 12:22:10.840151,0x433b0b38,22.99,41.69,1020.19,,,315,,,,,5,5
2024-12-18 12:23:11.307098,0x433b0b38,22.99,41.67,1020.16,,,315,,,,,5,5
2024-12-18 12:24:11.722619,0x433b0b38,22.98,41.63,1020.17,,,315,,,,,5,5
2024-12-18 12:25:12.139276,0x433b0b38,23.03,41.62,1020.17,,,315,,,,,5,5
2024-12-18 12:26:12.605250,0x433b0b38,23.01,41.64,1020.15,,,315,,,,,5,5
2024-12-18 12:27:13.071632,0x433b0b38,23.0,41.57,1020.16,,,315,,,,,5,5
2024-12-18 12:28:13.537857,0x433b0b38,23.01,41.53,1020.09,,,315,,,,,5,5
2024-12-18 12:28:37.699045,0x433aca0c,26.667515,30.505222,1021.0625,312.5843,49,,,6.25,-34,,3,3
2024-12-18 12:29:14.004597,0x433b0b38,23.04,41.53,1020.09,,,315,,,,,5,5
2024-12-18 12:30:14.470960,0x433b0b38,23.06,41.47,1020.08,,,315,,,,,5,5
