datetime,fromNode,pm10Standard,pm25Standard,pm100Standard,pm10Environmental,pm25Environmental,pm100Environmental,rxSnr,rxRssi,hopStart,hopLimit
2024-12-17 15:52:55.596859,0x336918e8,,,,,,,6.25,-27,5,5
2024-12-17 15:52:55.607730,0x433aca0c,,,,,,,6.75,-6,3,3
2024-12-17 15:52:55.613981,0x433b0b38,,,,,,,7.0,-20,5,5
2024-12-17 15:52:55.628082,0x336918e8,,,,,,,6.5,-26,5,5
2024-12-17 15:52:55.686754,0x433aca0c,,,,,,,6.5,-7,3,3
2024-12-17 15:52:58.376683,0x433b0b38,,,,,,,6.25,-19,5,5
2024-12-17 15:53:25.076704,0x336918e8,,,,,,,7.0,-26,5,5
2024-12-17 15:53:28.439751,0x433aca0c,,,,,,,6.25,-5,3,3
2024-12-17 15:53:59.049603,0x433b0b38,,,,,,,6.25,-18,5,5
2024-12-17 15:54:25.338703,0x336918e8,,,,,,,5.75,-23,5,5
2024-12-17 15:54:29.097398,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 15:54:58.872580,0x433b0b38,,,,,,,6.25,-18,5,5
2024-12-17 15:55:25.440718,0x336918e8,,,,,,,7.0,-23,5,5
2024-12-17 15:55:27.963613,0x433aca0c,,,,,,,4.75,-6,3,3
2024-12-17 15:55:59.085872,0x433b0b38,,,,,,,6.25,-18,5,5
2024-12-17 15:56:25.528924,0x336918e8,,,,,,,6.25,-22,5,5
2024-12-17 15:56:27.893972,0x433aca0c,,,,,,,6.0,-7,3,3
2024-12-17 15:56:59.792965,0x433b0b38,,,,,,,6.25,-18,5,5
2024-12-17 15:57:25.709942,0x336918e8,,,,,,,6.25,-23,5,5
2024-12-17 15:57:29.608127,0x433aca0c,,,,,,,6.25,-7,3,3
2024-12-17 15:58:00.029047,0x433b0b38,,,,,,,6.25,-18,5,5
2024-12-17 15:58:25.898923,0x336918e8,,,,,,,7.5,-23,5,5
2024-12-17 15:58:31.034321,0x433aca0c,,,,,,,6.5,-6,3,3
2024-12-17 15:59:00.562215,0x433b0b38,,,,,,,6.25,-18,5,5
2024-12-17 15:59:26.170062,0x336918e8,,,,,,,6.25,-24,5,5
2024-12-17 15:59:28.732142,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 16:00:00.224306,0x433b0b38,,,,,,,6.5,-17,5,5
2024-12-17 16:00:26.344450,0x336918e8,,,,,,,7.25,-23,5,5
2024-12-17 16:00:32.541485,0x433aca0c,,,,,,,6.25,-7,3,3
2024-12-17 16:01:00.230215,0x433b0b38,,,,,,,7.5,-16,5,5
2024-12-17 16:01:26.526328,0x336918e8,,,,,,,6.5,-24,5,5
2024-12-17 16:01:29.798362,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 16:02:01.006613,0x433b0b38,,,,,,,6.25,-18,5,5
2024-12-17 16:02:26.708388,0x336918e8,,,,,,,6.75,-22,5,5
2024-12-17 16:02:28.976341,0x433aca0c,,,,,,,6.0,-6,3,3
