datetime,fromNode,batteryLevel,voltage,channelUtilization,airUtilTx,rxSnr,hopLimit,rxRssi,hopStart
2024-12-16 23:36:39.549430,0x43590ff4,100,4.199,0.9316667,0.031055557,,5,,
2024-12-16 23:37:39.606139,0x43590ff4,101,4.204,,0.031055557,,5,,
2024-12-16 23:38:39.671146,0x43590ff4,100,4.194,,0.031055557,,5,,
2024-12-16 23:39:39.514331,0x43590ff4,101,4.203,,0.031055557,,5,,
2024-12-16 23:40:39.574212,0x43590ff4,101,4.241,,0.031055557,,5,,
2024-12-16 23:41:39.634171,0x43590ff4,101,4.218,,0.031055557,,5,,
2024-12-16 23:42:39.680388,0x43590ff4,100,4.194,,0.031055557,,5,,
2024-12-16 23:43:39.735322,0x43590ff4,101,4.219,,0.031055557,,5,,
2024-12-16 23:44:39.794427,0x43590ff4,100,4.197,,0.031055557,,5,,
2024-12-16 23:45:39.852487,0x43590ff4,99,4.188,,0.031055557,,5,,
2024-12-16 23:46:39.903364,0x43590ff4,101,4.206,,0.031055557,,5,,
2024-12-16 23:47:39.965535,0x43590ff4,101,4.243,,0.031055557,,5,,
2024-12-16 23:48:40.023508,0x43590ff4,101,4.229,,0.031055557,,5,,
2024-12-16 23:49:40.074534,0x43590ff4,101,4.236,,0.031055557,,5,,
2024-12-16 23:50:40.130597,0x43590ff4,101,4.241,,0.031055557,,5,,
2024-12-16 23:51:40.194555,0x43590ff4,101,4.215,,0.031055557,,5,,
2024-12-16 23:52:40.246631,0x43590ff4,101,4.235,,0.031055557,,5,,
2024-12-16 23:53:40.086733,0x43590ff4,101,4.25,,0.031055557,,5,,
2024-12-16 23:54:40.146623,0x43590ff4,101,4.213,,0.031055557,,5,,
2024-12-16 23:55:40.198910,0x43590ff4,101,4.24,,0.031055557,,5,,
2024-12-16 23:56:40.258704,0x43590ff4,101,4.232,,0.031055557,,5,,
2024-12-16 23:57:40.308615,0x43590ff4,101,4.231,,0.031055557,,5,,
2024-12-16 23:58:40.433679,0x43590ff4,101,4.233,1.19,0.050888892,,5,,
2024-12-16 23:59:40.499744,0x43590ff4,101,4.223,,0.050888892,,5,,
2024-12-17 00:00:40.552797,0x43590ff4,101,4.251,,0.050888892,,5,,
2024-12-17 00:01:40.604883,0x43590ff4,101,4.245,,0.050888892,,5,,
2024-12-17 00:02:40.655845,0x43590ff4,101,4.249,,0.050888892,,5,,
2024-12-17 00:03:40.493026,0x43590ff4,101,4.249,,0.050888892,,5,,
2024-12-17 00:04:40.546020,0x43590ff4,101,4.21,,0.050888892,,5,,
2024-12-17 00:05:40.715091,0x43590ff4,101,4.209,,0.050888892,,5,,5
2024-12-17 00:06:40.820027,0x43590ff4,100,4.191,,0.050888892,,5,,
2024-12-17 00:07:40.886963,0x43590ff4,101,4.209,,0.050888892,,5,,
2024-12-17 00:08:40.944176,0x43590ff4,101,4.235,,0.050888892,,5,,
2024-12-17 00:09:40.999056,0x43590ff4,101,4.246,,0.050888892,,5,,
2024-12-17 00:10:41.043075,0x43590ff4,101,4.233,,0.050888892,,5,,
2024-12-17 00:11:41.099365,0x43590ff4,101,4.23,,0.050888892,,5,,
2024-12-17 00:12:41.151143,0x43590ff4,101,4.227,,0.050888892,,5,,
2024-12-17 00:13:41.198179,0x43590ff4,101,4.226,,0.050888892,,5,,
2024-12-17 00:14:41.252383,0x43590ff4,101,4.254,,0.050888892,,5,,
2024-12-17 00:15:41.310185,0x43590ff4,101,4.236,,0.050888892,,5,,
2024-12-17 00:16:41.156406,0x43590ff4,101,4.243,,0.050888892,,5,,
2024-12-17 00:17:41.208464,0x43590ff4,101,4.237,,0.050888892,,5,,
2024-12-17 00:18:41.265247,0x43590ff4,101,4.246,,0.050888892,,5,,
2024-12-17 00:19:41.310536,0x43590ff4,101,4.233,,0.050888892,,5,,
2024-12-17 00:20:41.363350,0x43590ff4,101,4.211,,0.050888892,,5,,
2024-12-17 00:21:41.426421,0x43590ff4,101,4.243,,0.050888892,,5,,
2024-12-17 00:22:41.475482,0x43590ff4,101,4.235,,0.050888892,,5,,
2024-12-17 00:23:41.527538,0x43590ff4,101,4.208,,0.050888892,,5,,
2024-12-17 00:24:41.579621,0x43590ff4,101,4.205,,0.050888892,,5,,
2024-12-17 00:25:41.637521,0x43590ff4,101,4.261,,0.050888892,,5,,
2024-12-17 00:26:41.692472,0x43590ff4,101,4.202,,0.050888892,,5,,
2024-12-17 00:27:41.745646,0x43590ff4,100,4.197,,0.050888892,,5,,
2024-12-17 00:28:41.789626,0x43590ff4,101,4.218,,0.050888892,,5,,
2024-12-17 00:29:41.848838,0x43590ff4,101,4.216,,0.050888892,,5,,
2024-12-17 00:30:41.899809,0x43590ff4,101,4.235,,0.050888892,,5,,
2024-12-17 00:31:41.965637,0x43590ff4,100,4.196,,0.050888892,,5,,
2024-12-17 00:32:41.807652,0x43590ff4,101,4.229,,0.050888892,,5,,
2024-12-17 00:33:41.860738,0x43590ff4,101,4.234,,0.050888892,,5,,
2024-12-17 00:34:41.909700,0x43590ff4,101,4.207,,0.050888892,,5,,
2024-12-17 00:35:42.072022,0x43590ff4,100,4.193,,0.050888892,,5,,5
