Timestamp,Sender,ch3Voltage,ch3Current,rxSnr,rxRssi,hopLimit,hopStart
2024-11-16 09:47:14.609940,0x336918e8,3.7775,-1.25,6.5,-28,5,5
2024-11-16 09:48:09.178385,0x336918e8,3.92875,,6.0,-28,5,5
2024-11-16 09:49:09.402844,0x336918e8,3.77375,,6.0,-30,5,5
2024-11-16 09:50:09.625631,0x336918e8,3.8625,,6.0,-28,5,5
2024-11-16 09:51:09.836854,0x336918e8,3.78,,6.25,-29,5,5
2024-11-16 09:52:10.009549,0x336918e8,3.90125,,6.5,-28,5,5
2024-11-16 09:53:10.252111,0x336918e8,3.78375,,6.0,-32,5,5
2024-11-16 09:54:10.430397,0x336918e8,3.9575,,6.5,-30,5,5
2024-11-16 09:55:10.639862,0x336918e8,3.7925,,6.25,-26,5,5
2024-11-16 09:56:10.883263,0x336918e8,3.91875,,6.25,-31,5,5
2024-11-16 09:57:11.846334,0x336918e8,3.77625,,6.0,-25,5,5
2024-11-16 09:58:11.266347,0x336918e8,3.90375,,6.5,-28,5,5
2024-11-16 09:59:11.664552,0x336918e8,3.925,,6.5,-24,5,5
2024-11-16 10:00:11.726905,0x336918e8,3.86,-1.25,6.0,-36,5,5
2024-11-16 10:01:11.954937,0x336918e8,3.9,-1.25,7.25,-35,5,5
2024-11-16 10:02:12.188551,0x336918e8,3.89875,-1.25,6.25,-31,5,5
2024-11-16 10:03:12.342684,0x336918e8,3.88875,,6.25,-34,5,5
2024-11-16 10:04:12.532680,0x336918e8,3.77875,,6.25,-32,5,5
2024-11-16 10:05:12.782979,0x336918e8,3.8825,1.25,6.0,-28,5,5
2024-11-16 10:06:12.952794,0x336918e8,3.82875,,6.0,-31,5,5
2024-11-16 10:07:13.208426,0x336918e8,3.89625,-1.25,6.25,-30,5,5
2024-11-16 10:08:13.385037,0x336918e8,3.82125,,6.25,-37,5,5
2024-11-16 10:09:13.627823,0x336918e8,3.97,-1.25,6.5,-28,5,5
2024-11-16 10:10:13.796217,0x336918e8,3.87,,5.75,-29,5,5
2024-11-16 10:11:14.030719,0x336918e8,3.92625,,6.5,-33,5,5
2024-11-16 10:12:14.280001,0x336918e8,3.8125,-1.25,6.25,-30,5,5
2024-11-16 10:13:14.471491,0x336918e8,3.8825,,6.75,-27,5,5
2024-11-16 10:14:14.656899,0x336918e8,3.80875,,6.25,-27,5,5
2024-11-16 10:15:14.868236,0x336918e8,3.89375,,5.75,-31,5,5
2024-11-16 10:16:15.117705,0x336918e8,3.9575,-1.25,6.0,-27,5,5
2024-11-16 10:17:15.339283,0x336918e8,3.86375,-1.25,6.25,-30,5,5
2024-11-16 10:18:15.585395,0x336918e8,3.86875,-1.25,6.0,-43,5,5
2024-11-16 10:19:16.357477,0x336918e8,3.885,-1.25,6.0,-33,5,5
2024-11-16 10:20:16.076402,0x336918e8,3.8625,1.25,6.25,-32,5,5
2024-11-16 10:21:16.137657,0x336918e8,3.88125,,6.25,-33,5,5
2024-11-16 10:22:16.367219,0x336918e8,3.8125,,6.0,-33,5,5
2024-11-16 10:24:16.809104,0x336918e8,3.7775,1.25,6.0,-25,5,5
2024-11-16 10:25:17.021347,0x336918e8,3.81,-1.25,6.5,-29,5,5
2024-11-16 10:26:17.233403,0x336918e8,3.76875,-1.25,6.75,-37,5,5
2024-11-16 10:27:17.498597,0x336918e8,3.88875,-2.5,6.75,-32,5,5
2024-11-16 10:28:17.613525,0x336918e8,3.75875,,6.5,-32,5,5
2024-11-23 09:48:44.222273,0x433aca0c,0.00125,-1.25,6.0,-53,3,3
2024-11-23 09:50:26.797906,0x433aca0c,0.00125,-1.25,6.25,-28,3,3
2024-11-23 09:56:34.967975,0x433aca0c,0.00125,-1.25,7.25,-35,3,3
2024-11-23 10:00:22.474667,0x433aca0c,0.00125,-2.5,6.5,-28,3,3
2024-11-23 10:01:29.248110,0x433aca0c,0.00125,-2.5,6.5,-34,3,3
2024-11-23 10:05:33.306398,0x433aca0c,0.00625,-3.75,5.75,-28,3,3
2024-11-23 10:10:33.604523,0x433aca0c,0.00625,-2.5,6.25,-16,3,3
2024-11-23 10:54:35.998869,0x433aca0c,0.0025,-1.25,6.0,-27,3,3
2024-11-23 10:55:00.097686,0x433aca0c,0.00125,-2.5,7.25,-26,3,3
2024-11-23 10:59:59.745140,0x433aca0c,0.00125,-1.25,6.25,-34,3,3
