datetime,fromNode,pm10Standard,pm25Standard,pm100Standard,pm10Environmental,pm25Environmental,pm100Environmental,rxSnr,hopLimit,rxRssi,hopStart
2024-12-17 08:37:44.689682,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 08:38:44.765743,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 08:39:44.973383,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 08:40:45.309379,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 08:41:45.335506,0x433aca0c,,,,,,,6.75,3,-6,3
2024-12-17 08:42:45.706305,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 08:43:45.851264,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 08:44:45.914309,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 08:45:46.030082,0x433aca0c,,,,,,,6.5,3,-7,3
2024-12-17 08:46:46.238269,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 08:47:46.505586,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 08:48:46.599028,0x433aca0c,,,,,,,6.0,3,-6,3
2024-12-17 08:49:46.791294,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 08:50:47.124490,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 08:51:47.144651,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 08:52:47.332818,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 08:53:47.619997,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 08:54:47.772424,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 08:55:47.953448,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 08:56:48.045583,0x433aca0c,,,,,,,6.0,3,-6,3
2024-12-17 08:57:48.312740,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 08:58:48.561729,0x433aca0c,,,,,,,6.0,3,-6,3
2024-12-17 08:59:48.753030,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 09:00:48.849864,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 09:01:48.959064,0x433aca0c,,,,,,,6.0,3,-6,3
2024-12-17 09:02:49.115087,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 09:03:49.316145,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 09:04:49.496217,0x433aca0c,,,,,,,6.25,3,-5,3
2024-12-17 09:05:49.828410,0x433aca0c,,,,,,,6.0,3,-6,3
2024-12-17 09:06:50.202364,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 09:07:50.192493,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 09:08:50.296492,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 09:09:50.480519,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 09:10:51.028957,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 09:11:50.923704,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 09:12:51.095620,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 09:13:51.122663,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 09:14:51.465710,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 09:15:51.560841,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 09:16:51.741681,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 09:17:52.045714,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 09:18:52.052815,0x433aca0c,,,,,,,6.25,3,-7,3
2024-12-17 09:19:52.388860,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 09:20:52.403853,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 09:21:52.589306,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 09:22:52.770776,0x433aca0c,,,,,,,6.25,3,-7,3
2024-12-17 09:23:53.081276,0x433aca0c,,,,,,,6.5,3,-7,3
2024-12-17 09:24:53.210664,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 09:25:53.398935,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 09:26:53.763266,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 09:27:53.867406,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 09:28:53.863639,0x433aca0c,,,,,,,6.0,3,-7,3
2024-12-17 09:29:54.039791,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 09:30:54.374995,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 09:31:54.435268,0x433aca0c,,,,,,,6.0,3,-6,3
2024-12-17 09:32:54.578521,0x433aca0c,,,,,,,6.25,3,-5,3
2024-12-17 09:33:54.848649,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 09:34:55.020863,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 09:35:55.121062,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 09:36:55.411018,0x433aca0c,,,,,,,6.75,3,-6,3
