datetime,fromNode,temperature,relativeHumidity,barometricPressure,gasResistance,iaq,rxSnr,hopLimit,rxRssi,hopStart
2024-12-17 12:50:43.090121,0x433aca0c,26.788675,34.54689,1023.4803,223.1268,64,6.25,3,-6,3
2024-12-17 12:54:17.791063,0x433b0b38,22.22546,46.261032,1023.13403,21.58516,50,6.0,5,-15,5
2024-12-17 12:55:17.606071,0x433b0b38,22.42877,45.4241,1023.1318,38.0839,50,6.25,5,-14,5
2024-12-17 12:56:18.896119,0x433b0b38,22.683123,44.75175,1023.11554,51.271782,50,6.5,5,-14,5
2024-12-17 12:57:17.642202,0x433b0b38,22.93264,44.19074,1023.09686,61.91052,50,6.0,5,-14,5
2024-12-17 12:58:18.218053,0x433b0b38,23.176786,43.651783,1023.0721,70.27176,50,6.25,5,-14,5
2024-12-17 12:59:17.688021,0x433b0b38,23.382593,43.201042,1023.0282,77.34139,2,6.5,5,-14,5
2024-12-17 13:00:18.290028,0x433b0b38,23.580574,42.745266,1023.0459,83.469185,,6.25,5,-15,5
2024-12-17 13:01:17.745023,0x433b0b38,23.770842,42.365105,1023.02997,87.94229,,6.5,5,-14,5
2024-12-17 13:02:18.334249,0x433b0b38,23.943224,41.92387,1023.03925,94.69206,,6.5,5,-14,5
2024-12-17 13:03:17.768263,0x433b0b38,24.09224,41.62934,1023.02496,96.78639,,6.0,5,-15,5
2024-12-17 13:04:17.852201,0x433b0b38,24.241255,41.246597,1023.03046,101.56715,,7.25,5,-14,5
2024-12-17 13:05:17.813192,0x433b0b38,24.374958,40.929802,1023.0159,105.06875,,7.0,5,-14,5
2024-12-17 13:06:18.402240,0x433b0b38,24.495842,40.68385,1023.017,107.721436,,7.0,5,-14,5
2024-12-17 13:07:17.931121,0x433b0b38,24.591127,40.49234,1022.9604,110.79853,,6.75,5,-15,5
2024-12-17 13:08:17.933044,0x433b0b38,24.681046,40.213615,1022.92957,112.92457,,6.75,5,-14,5
2024-12-17 13:08:43.596023,0x433aca0c,26.84948,34.528275,1023.3048,221.33406,69,6.0,3,-7,3
2024-12-17 13:09:17.978438,0x433b0b38,24.78378,40.0011,1022.93115,115.44532,,8.0,5,-13,5
2024-12-17 13:10:18.038185,0x433b0b38,24.860916,39.827393,1022.8746,117.4312,,6.75,5,-14,5
2024-12-17 13:11:17.944113,0x433b0b38,24.92531,39.704662,1022.80084,116.073456,,6.25,5,-14,5
2024-12-17 13:12:18.046065,0x433b0b38,25.00759,39.49444,1022.7732,119.99062,,7.0,5,-14,5
2024-12-17 13:13:18.009383,0x433b0b38,25.092438,39.262608,1022.7919,120.925835,,6.25,5,-14,5
2024-12-17 13:14:18.833375,0x433b0b38,25.177176,39.04657,1022.7704,124.18142,,7.0,5,-14,5
2024-12-17 13:15:18.070247,0x433b0b38,25.24932,38.894474,1022.7567,125.18337,,7.0,5,-14,5
2024-12-17 13:16:18.042254,0x433b0b38,25.298021,38.76502,1022.74286,125.829445,,6.25,5,-14,5
2024-12-17 13:17:18.083195,0x433b0b38,25.349447,38.640522,1022.7116,127.331505,,7.0,5,-15,5
2024-12-17 13:18:18.093264,0x433b0b38,25.377731,38.557156,1022.7072,128.77263,,7.25,5,-14,5
2024-12-17 13:19:18.593280,0x433b0b38,25.411156,38.43307,1022.69507,129.75165,,6.0,5,-14,5
2024-12-17 13:20:18.122480,0x433b0b38,25.449724,38.30947,1022.6499,130.74565,10,6.75,5,-15,5
2024-12-17 13:21:18.194834,0x433b0b38,25.503721,38.188957,1022.62305,132.57379,23,6.5,5,-14,5
2024-12-17 13:22:18.311848,0x433b0b38,25.537148,38.07731,1022.6477,133.71637,39,7.25,5,-14,5
2024-12-17 13:23:18.260946,0x433b0b38,25.58343,38.018456,1022.6412,134.24226,50,6.75,5,-14,5
2024-12-17 13:24:18.243921,0x433b0b38,25.616856,37.926136,1022.59357,134.87881,50,6.5,5,-14,5
2024-12-17 13:25:18.343193,0x433b0b38,25.660566,37.85245,1022.606,135.19936,51,7.25,5,-13,5
2024-12-17 13:26:18.253352,0x433b0b38,25.675993,37.804985,1022.5657,136.06166,50,7.0,5,-14,5
2024-12-17 13:26:43.667075,0x433aca0c,26.836218,34.27671,1022.9923,225.7168,61,6.5,3,-7,3
2024-12-17 13:27:18.278402,0x433b0b38,25.704277,37.760742,1022.5412,133.50717,70,5.75,5,-13,5
2024-12-17 13:28:18.797513,0x433b0b38,25.747986,37.650917,1022.5367,137.04497,50,6.25,5,-15,5
2024-12-17 13:29:18.310505,0x433b0b38,25.77627,37.5712,1022.5306,137.59743,50,6.25,5,-14,5
2024-12-17 13:30:18.344592,0x433b0b38,25.81227,37.52758,1022.506,138.71579,50,6.0,5,-15,5
2024-12-17 13:31:18.458712,0x433b0b38,25.850838,37.385582,1022.51105,138.60313,51,5.5,5,-13,5
2024-12-17 13:32:18.456871,0x433b0b38,25.894547,37.320312,1022.5064,138.15434,51,7.0,5,-14,5
2024-12-17 13:33:18.528723,0x433b0b38,25.945972,37.248947,1022.4886,138.71579,51,6.0,5,-13,5
2024-12-17 13:34:18.428781,0x433b0b38,25.997398,37.167,1022.4874,138.94165,51,7.0,5,-14,5
2024-12-17 13:35:18.481912,0x433b0b38,26.038538,37.16594,1022.4867,139.62367,50,7.0,5,-14,5
2024-12-17 13:36:18.510025,0x433b0b38,26.038538,37.164345,1022.4649,135.84505,72,6.25,5,-13,5
2024-12-17 13:37:18.493101,0x433b0b38,26.095106,37.02743,1022.4643,139.16824,52,7.25,5,-14,5
