datetime,fromNode,ch3Voltage,ch3Current,rxSnr,hopLimit,rxRssi,hopStart
2024-12-17 13:38:28.455450,0x433b0b38,4.6825,-5.0,6.25,5,-15,5
2024-12-17 13:43:29.210649,0x433b0b38,4.7125,-3.75,6.25,5,-13,5
2024-12-17 13:48:30.052916,0x433b0b38,4.685,-3.75,6.25,5,-13,5
2024-12-17 13:53:32.948109,0x433b0b38,4.68625,-3.75,6.25,5,-13,5
2024-12-17 13:58:32.474839,0x433b0b38,4.72,-2.5,6.75,5,-14,5
2024-12-17 14:03:34.556010,0x433b0b38,4.71375,-2.5,6.75,5,-14,5
2024-12-17 14:08:35.302598,0x433b0b38,4.71875,-2.5,6.75,5,-15,5
2024-12-17 14:13:36.643453,0x433b0b38,4.71125,-3.75,6.0,5,-14,5
2024-12-17 14:18:37.782017,0x433b0b38,4.68875,-3.75,5.75,5,-13,5
2024-12-17 14:23:38.757328,0x433b0b38,4.68875,-2.5,6.0,5,-13,5
2024-12-17 14:28:40.071864,0x433b0b38,4.7225,-6.25,6.75,5,-14,5
2024-12-17 14:33:41.053262,0x433b0b38,4.725,-3.75,6.75,5,-14,5
